epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1762.75,1.13742,0.74634,1.1094,0.94974,0.89993,0.93095,0.67703,1.15326,0.89468,1.06514,0.0006734,0.0006734,0.0006734
69,1786.71,1.14732,0.76095,1.10009,0.90527,0.91026,0.94759,0.65319,1.16633,0.81196,1.06768,0.0006536,0.0006536,0.0006536
70,1813.35,1.1293,0.801,1.09806,0.88544,0.95238,0.94801,0.69719,1.1353,0.81186,1.04737,0.0006338,0.0006338,0.0006338
71,1838.93,1.14461,0.80881,1.10193,0.85035,0.94712,0.93866,0.67278,1.13387,0.86621,1.05806,0.000614,0.000614,0.000614
72,1863.83,1.05791,0.72537,1.072,0.9043,0.88095,0.94842,0.67682,1.09466,0.79609,1.03294,0.0005942,0.0005942,0.0005942
73,1888.58,1.08941,0.73541,1.0847,0.82789,0.92857,0.94943,0.69688,1.117,0.84782,1.03936,0.0005744,0.0005744,0.0005744
74,1914.54,1.1079,0.76787,1.10364,0.88814,0.94535,0.95775,0.71381,1.05605,0.73811,1.01232,0.0005546,0.0005546,0.0005546
75,1942.06,1.08865,0.75779,1.09503,0.90544,0.92857,0.93907,0.68635,1.09879,0.76923,1.03156,0.0005348,0.0005348,0.0005348
76,1968.5,1.10426,0.76356,1.09361,0.96048,0.78571,0.92736,0.67039,1.12344,0.79267,1.06204,0.000515,0.000515,0.000515
77,1995.3,1.0543,0.72739,1.07548,0.92165,0.84033,0.95782,0.70086,1.08865,0.71802,1.04058,0.0004952,0.0004952,0.0004952
78,2019.4,1.06273,0.72137,1.0685,0.88679,0.95238,0.96013,0.6987,1.10873,0.73745,1.05157,0.0004754,0.0004754,0.0004754
79,2045.04,1.03823,0.7236,1.06041,0.88866,0.95021,0.95395,0.70323,1.06872,0.72789,1.02566,0.0004556,0.0004556,0.0004556
80,2070.67,1.03955,0.67083,1.04534,0.89072,0.97041,0.9621,0.70385,1.09752,0.71905,1.02623,0.0004358,0.0004358,0.0004358
81,2095.55,0.98881,0.65476,1.05499,0.90442,0.90123,0.95292,0.6889,1.10597,0.75006,1.03212,0.000416,0.000416,0.000416
82,2120.5,1.02322,0.6695,1.05866,0.92703,0.90755,0.95769,0.69956,1.08018,0.71096,1.0466,0.0003962,0.0003962,0.0003962
83,2144.76,1.03955,0.69762,1.05353,0.89261,0.92857,0.96222,0.7162,1.07859,0.70234,1.02816,0.0003764,0.0003764,0.0003764
84,2172.18,1.00012,0.69447,1.05186,0.87532,0.92857,0.97151,0.6964,1.06612,0.66685,1.02344,0.0003566,0.0003566,0.0003566
85,2198.76,0.9968,0.65245,1.05833,0.88326,0.95238,0.96907,0.70671,1.0706,0.66751,1.03124,0.0003368,0.0003368,0.0003368
86,2226.09,1.04738,0.66282,1.07078,0.90731,0.93231,0.97195,0.73136,1.05491,0.65958,1.03094,0.000317,0.000317,0.000317
87,2251.85,1.00197,0.6629,1.04904,0.95107,0.92556,0.96907,0.7301,1.07399,0.66073,1.02927,0.0002972,0.0002972,0.0002972
88,2277.42,0.98354,0.64935,1.02924,0.94276,0.92857,0.97034,0.73152,1.06316,0.67904,1.03396,0.0002774,0.0002774,0.0002774
89,2303.6,0.97084,0.65488,1.03281,0.9083,0.94347,0.97066,0.72836,1.04993,0.66439,1.03365,0.0002576,0.0002576,0.0002576
90,2328.09,0.95502,0.63248,1.05501,0.90903,0.95165,0.96453,0.70379,1.08905,0.72388,1.04549,0.0002378,0.0002378,0.0002378
91,2381.98,0.94379,0.60522,1.04149,0.9461,0.92857,0.96386,0.7121,1.0803,0.70535,1.04754,0.000218,0.000218,0.000218
92,2407.91,0.97741,0.66959,1.04465,0.92732,0.92857,0.964,0.72328,1.05987,0.68779,1.03828,0.0001982,0.0001982,0.0001982
93,2434.47,0.97137,0.63948,1.03588,0.92109,0.92857,0.96468,0.7178,1.04378,0.65381,1.03977,0.0001784,0.0001784,0.0001784
94,2461.25,0.95984,0.61605,1.03524,0.94945,0.92857,0.96601,0.71521,1.04354,0.6574,1.04185,0.0001586,0.0001586,0.0001586
95,2487.58,0.98554,0.65127,1.04918,0.9481,0.92857,0.96318,0.71192,1.0304,0.6529,1.03286,0.0001388,0.0001388,0.0001388
96,2512.18,0.89963,0.59975,1.00038,0.94494,0.92857,0.96648,0.72213,1.02303,0.654,1.02192,0.000119,0.000119,0.000119
97,2538.74,0.93324,0.62312,1.04188,0.95782,0.92857,0.96938,0.72266,1.03314,0.67887,1.02667,9.92e-05,9.92e-05,9.92e-05
98,2563.34,0.91236,0.58766,1.01903,0.96827,0.92857,0.96524,0.73422,1.04081,0.69331,1.02612,7.94e-05,7.94e-05,7.94e-05
99,2590.14,0.97264,0.63559,1.04667,0.96378,0.92857,0.96513,0.72236,1.04705,0.68769,1.02491,5.96e-05,5.96e-05,5.96e-05
100,2616.38,0.94147,0.6133,1.02899,0.96088,0.92857,0.96559,0.72762,1.04005,0.69008,1.02579,3.98e-05,3.98e-05,3.98e-05
