epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,3193.39,0.37941,0.4456,0.32744,0.95346,0.99656,1,0.995,0.88428,0.99656,1,0.995,0.9181,0.509,0.29348,0.37728,1.10716,0.0006338,0.0006338,0.0006338
71,3238.87,0.39884,0.48878,0.34153,0.97304,0.99688,1,0.995,0.91574,0.99688,1,0.995,0.95127,0.43721,0.30422,0.31846,1.03185,0.000614,0.000614,0.000614
72,3284.15,0.39102,0.44074,0.33764,0.94526,0.99606,1,0.995,0.91786,0.99606,1,0.995,0.92345,0.46418,0.338,0.31236,1.06915,0.0005942,0.0005942,0.0005942
73,3327.55,0.38866,0.48701,0.3442,0.94269,1,0.99779,0.995,0.92751,1,0.99779,0.995,0.93381,0.52594,0.31762,0.34169,1.1088,0.0005744,0.0005744,0.0005744
74,3375.19,0.38758,0.45534,0.3627,0.95764,0.99641,1,0.995,0.91183,0.99641,1,0.995,0.92806,0.44662,0.35631,0.30706,1.08145,0.0005546,0.0005546,0.0005546
75,3420.77,0.36551,0.43504,0.31551,0.95751,0.99617,1,0.995,0.93285,0.99617,1,0.995,0.9611,0.42484,0.30242,0.29918,1.01134,0.0005348,0.0005348,0.0005348
76,3465.42,0.35269,0.43555,0.3028,0.93002,0.99694,1,0.995,0.93084,0.99694,1,0.995,0.93947,0.39218,0.29894,0.35133,0.99307,0.000515,0.000515,0.000515
77,3510.17,0.36701,0.49645,0.32888,0.93421,0.99817,1,0.995,0.94088,0.99817,1,0.995,0.96126,0.3739,0.27002,0.33123,0.95416,0.0004952,0.0004952,0.0004952
78,3555.31,0.35383,0.43814,0.31891,0.92787,0.99705,1,0.995,0.92588,0.99705,1,0.995,0.94209,0.37599,0.25155,0.28892,0.97923,0.0004754,0.0004754,0.0004754
79,3601.47,0.34762,0.42532,0.3095,0.92536,0.99613,1,0.995,0.92198,0.99613,1,0.995,0.93385,0.43922,0.28075,0.31667,1.04071,0.0004556,0.0004556,0.0004556
80,3648.01,0.34418,0.44185,0.32826,0.92173,0.99608,1,0.995,0.92611,0.99608,1,0.995,0.94077,0.45094,0.26034,0.31869,1.04276,0.0004358,0.0004358,0.0004358
81,3691.69,0.32052,0.39677,0.29457,0.90216,0.99706,1,0.995,0.93899,0.99706,1,0.995,0.93879,0.45761,0.26624,0.27168,1.12257,0.000416,0.000416,0.000416
82,3737.36,0.34529,0.42749,0.30318,0.90723,0.99638,1,0.995,0.92125,0.99638,1,0.995,0.92644,0.44333,0.28356,0.29424,1.07846,0.0003962,0.0003962,0.0003962
83,3781.57,0.33269,0.39988,0.29733,0.91878,0.99654,1,0.995,0.91541,0.99654,1,0.995,0.92994,0.46658,0.27064,0.2636,1.13846,0.0003764,0.0003764,0.0003764
84,3826.44,0.33045,0.42293,0.30507,0.92377,0.99691,1,0.995,0.92446,0.99691,1,0.995,0.92423,0.41005,0.26992,0.28879,1.03729,0.0003566,0.0003566,0.0003566
85,3872.27,0.33675,0.43214,0.32202,0.91349,1,0.99746,0.995,0.9342,1,0.99746,0.995,0.94953,0.41131,0.26647,0.28602,1.02994,0.0003368,0.0003368,0.0003368
86,3917.36,0.30575,0.38532,0.26912,0.88853,0.99755,1,0.995,0.92328,0.99755,1,0.995,0.94537,0.42969,0.26691,0.25943,1.08928,0.000317,0.000317,0.000317
87,3963.06,0.32263,0.4001,0.29887,0.8951,0.99813,1,0.995,0.91571,0.99813,1,0.995,0.94225,0.4436,0.28863,0.32334,1.0554,0.0002972,0.0002972,0.0002972
88,4007.86,0.29144,0.37451,0.26071,0.89841,0.99741,1,0.995,0.93264,0.99741,1,0.995,0.94457,0.40797,0.27187,0.24837,1.04581,0.0002774,0.0002774,0.0002774
89,4062.37,0.31226,0.41116,0.27601,0.89646,0.99678,1,0.995,0.93177,0.99678,1,0.995,0.94073,0.39939,0.24531,0.25317,1.01738,0.0002576,0.0002576,0.0002576
90,4116.25,0.30563,0.38711,0.30144,0.88784,0.9978,1,0.995,0.92887,0.9978,1,0.995,0.95666,0.43249,0.24589,0.27507,1.03069,0.0002378,0.0002378,0.0002378
91,4203.42,0.28132,0.35765,0.25828,0.87827,0.99716,1,0.995,0.9296,0.99716,1,0.995,0.95079,0.38763,0.24081,0.24195,1.02589,0.000218,0.000218,0.000218
92,4257.91,0.29608,0.37814,0.26143,0.88917,0.99824,1,0.995,0.94071,0.99824,1,0.995,0.94078,0.37572,0.25045,0.27344,1.01414,0.0001982,0.0001982,0.0001982
93,4312.82,0.29491,0.38211,0.26848,0.87142,0.99735,1,0.995,0.93326,0.99735,1,0.995,0.94251,0.39817,0.25325,0.27028,1.02987,0.0001784,0.0001784,0.0001784
